Column 1,cleaned,count
PG 141:,PG 141:,1
PG 142:,PG 142:,1
PG 143:,PG 143:,1
PG 144:,PG 144:,1
PG 145:,PG 145:,1
PG 146:,PG 146:,1
PG 147:,PG 147:,1
PG 148:,PG 148:,1
PG 149:,PG 149:,1
PG 15:,PG 15:,1
PG 150:,PG 150:,1
PG 150 Gregorius :,PG 150 GREGORIUS:,1
PG 151:,PG 151:,1
PG 151 Gregorius :,PG 151 GREGORIUS:,1
PG 152:,PG 152:,1
PG 152 Manuel :,PG 152 MANUEL:,1
PG 153:,PG 153:,1
PG 153 Ioannes :,PG 153 IOANNES:,1
PG 154:,PG 154:,1
PG 154 Ioannes :,PG 154 IOANNES:,1
PG 155:,PG 155:,1
PG 155 Symeon :,PG 155 SYMEON:,1
PG 156:,PG 156:,1
PG 156 Manuel :,PG 156 MANUEL:,1
PG 157:,PG 157:,1
PG 157 Georgius :,PG 157 GEORGIUS:,1
PG 158:,PG 158:,1
PG 159:,PG 159:,1
PG 160:,PG 160:,1
PG 161:,PG 161:,1
PG 16a:,PG 16A:,1
PG 16b:,PG 16B:,1
PG 16c:,PG 16C:,1
PG 17:,PG 17:,1
PG 18:,PG 18:,1
PG 18 Methodius :,PG 18 METHODIUS:,1
PG 19:,PG 19:,1
PG 19 Eusebius :,PG 19 EUSEBIUS:,1
PG 2:,PG 2:,1
PG 20:,PG 20:,1
PG 20  Eusebius :,PG 20 EUSEBIUS:,1
PG 21:,PG 21:,1
PG 21 Eusebius:,PG 21 EUSEBIUS:,1
PG 22:,PG 22:,1
PG 22 Eusebius:,PG 22 EUSEBIUS:,1
PG 23:,PG 23:,1
PG 23 Eusebius:,PG 23 EUSEBIUS:,1
PG 24:,PG 24:,1
PG 24 Eusebius:,PG 24 EUSEBIUS:,1
PG 25a:,PG 25A:,1
PG 25b:,PG 25B:,1
PG 26:,PG 26:,1
PG 27:,PG 27:,1
PG 28:,PG 28:,1
PG 29a:,PG 29A:,1
PG 29a Basilius:,PG 29A BASILIUS:,1
PG 29b:,PG 29B:,1
PG 29b Basilius:,PG 29B BASILIUS:,1
PG 3:,PG 3:,1
PG 30:,PG 30:,1
PG 30 Basilius:,PG 30 BASILIUS:,1
PG 31:,PG 31:,1
PG 31 Basilius:,PG 31 BASILIUS:,1
PG 32:,PG 32:,1
PG 32 Basilius:,PG 32 BASILIUS:,1
PG 33:,PG 33:,1
PG 33 Cyrillus:,PG 33 CYRILLUS:,1
PG 34:,PG 34:,1
PG 34 Macarius:,PG 34 MACARIUS:,1
PG 35:,PG 35:,1
PG 35 Gregorius:,PG 35 GREGORIUS:,1
PG 36:,PG 36:,1
PG 36 Gregorius:,PG 36 GREGORIUS:,1
PG 37:,PG 37:,1
PG 37 Gregorius:,PG 37 GREGORIUS:,1
PG 38:,PG 38:,1
PG 38 Gregorius:,PG 38 GREGORIUS:,1
PG 39:,PG 39:,1
PG 39 Didymus:,PG 39 DIDYMUS:,1
PG 4:,PG 4:,1
PG 40:,PG 40:,1
PG 41:,PG 41:,1
PG 42:,PG 42:,1
PG 43:,PG 43:,1
PG 44:,PG 44:,1
PG 45:,PG 45:,1
PG 46:,PG 46:,1
PG 47:,PG 47:,1
PG 48:,PG 48:,1
PG 49:,PG 49:,1
PG 5:,PG 5:,1
PG 50:,PG 50:,1
PG 51:,PG 51:,1
PG 52:,PG 52:,1
PG 52 Ioannes :,PG 52 IOANNES:,1
PG 53:,PG 53:,1
PG 54:,PG 54:,1
PG 55:,PG 55:,1
PG 56:,PG 56:,1
PG 57:,PG 57:,1
PG 58:,PG 58:,1
PG 59:,PG 59:,1
PG 6:,PG 6:,1
PG 60:,PG 60:,1
PG 60 Ioannes :,PG 60 IOANNES:,1
PG 61:,PG 61:,1
PG 61 Ioannes :,PG 61 IOANNES:,1
PG 62:,PG 62:,1
PG 62 Ioannes :,PG 62 IOANNES:,1
PG 63:,PG 63:,1
PG 63 Ioannes :,PG 63 IOANNES:,1
PG 64:,PG 64:,1
PG 65:,PG 65:,1
PG 65 Proclus :,PG 65 PROCLUS:,1
PG 66:,PG 66:,1
PG 66 Synesius :,PG 66 SYNESIUS:,1
PG 67:,PG 67:,1
PG 67 Socrates :,PG 67 SOCRATES:,1
PG 68:,PG 68:,1
PG 68 Cyrillus :,PG 68 CYRILLUS:,1
PG 69:,PG 69:,1
PG 69 Cyrillus :,PG 69 CYRILLUS:,1
PG 70:,PG 70:,1
PG 70 Cyrillus :,PG 70 CYRILLUS:,1
PG 71:,PG 71:,1
PG 71 Cyrillus :,PG 71 CYRILLUS:,1
PG 72:,PG 72:,1
PG 72 Cyrillus :,PG 72 CYRILLUS:,1
PG 73:,PG 73:,1
PG 73 Cyrillus :,PG 73 CYRILLUS:,1
PG 74:,PG 74:,1
PG 74 Cyrillus :,PG 74 CYRILLUS:,1
PG 75:,PG 75:,1
PG 75 Cyrillus :,PG 75 CYRILLUS:,1
PG 76:,PG 76:,1
PG 76 Cyrillus :,PG 76 CYRILLUS:,1
PG 77:,PG 77:,1
PG 77 Cyrillus :,PG 77 CYRILLUS:,1
PG 78:,PG 78:,1
PG 78 Isidorus :,PG 78 ISIDORUS:,1
PG 79:,PG 79:,1
PG 7a:,PG 7A:,1
PG 7b:,PG 7B:,1
PG 8:,PG 8:,1
PG 80:,PG 80:,1
PG 81:,PG 81:,1
PG 82:,PG 82:,1
PG 83:,PG 83:,1
PG 84:,PG 84:,1
PG 85:,PG 85:,1
PG 86a:,PG 86A:,1
PG 86b:,PG 86B:,1
PG 87a:,PG 87A:,1
PG 87a Procopius :,PG 87A PROCOPIUS:,1
PG 87b:,PG 87B:,1
PG 87b Procopius :,PG 87B PROCOPIUS:,1
PG 87c:,PG 87C:,1
PG 87c Procopius :,PG 87C PROCOPIUS:,1
PG 88:,PG 88:,1
PG 88 Ioannes :,PG 88 IOANNES:,1
PG 89:,PG 89:,1
PG 9:,PG 9:,1
PG 90:,PG 90:,1
PG 90 Maximus :,PG 90 MAXIMUS:,1
PG 91:,PG 91:,1
PG 91 Maximus :,PG 91 MAXIMUS:,1
PG 92:,PG 92:,1
PG 92 Georgius :,PG 92 GEORGIUS:,1
PG 93:,PG 93:,1
PG 93 Hesychius :,PG 93 HESYCHIUS:,1
PG 94:,PG 94:,1
PG 94 Ioannes :,PG 94 IOANNES:,1
PG 95:,PG 95:,1
PG 95 Ioannes :,PG 95 IOANNES:,1
PG 96:,PG 96:,1
PG 96 Ioannes :,PG 96 IOANNES:,1
PG 97:,PG 97:,1
PG 98:,PG 98:,1
PG 99:,PG 99:,1
PG 99 Τheodorus :,PG 99 ΤHEODORUS:,1
PINAX ONLINE:,PINAX ONLINE:,1
PJANE accepts papers with topics such as:,PJANE ACCEPTS PAPERS WITH TOPICS SUCH AS:,1
PLATON :,PLATON:,4
PMG 976:,PMG 976:,1
PM to 6:,PM TO 6:,1
PODER Y PRESTIGIO EN LAS SOCIEDADES PREHISTÓRICAS PENINSULARES:,PODER Y PRESTIGIO EN LAS SOCIEDADES PREHISTÓRICAS PENINSULARES:,1
POLYVINYL ALCOHOL HYDROGELS FOR CLEANING WORKS OF ART:,POLYVINYL ALCOHOL HYDROGELS FOR CLEANING WORKS OF ART:,1
POSSESSED BY THE GREAT MOTHER:,POSSESSED BY THE GREAT MOTHER:,1
POTSHERD :,POTSHERD:,1
PRINT ISSN:,PRINT ISSN:,1
PROBLEMS OF ILLUMINATION OF CULTURAL HERITAGE:,PROBLEMS OF ILLUMINATION OF CULTURAL HERITAGE:,1
PROCEEDINGS  OF THE CHERSONESOS MUSEUM 4:,PROCEEDINGS OF THE CHERSONESOS MUSEUM 4:,1
PROJECT GOALS:,PROJECT GOALS:,1
PUL uses two numbering systems for shelving:,PUL USES TWO NUMBERING SYSTEMS FOR SHELVING:,1
PUNICA FIDES:,PUNICA FIDES:,3
PURL when linking to TC and its         contents:,PURL WHEN LINKING TO TC AND ITS CONTENTS:,1
RACLITE :,RACLITE:,1
RE :,RE:,2
REDE DE POVOAMENTO:,REDE DE POVOAMENTO:,1
RES PUBLICA LITTERARUM:,RES PUBLICA LITTERARUM:,3
RIDROM is divided up into four main sections:,RIDROM IS DIVIDED UP INTO FOUR MAIN SECTIONS:,1
RIHA Journal:,RIHA JOURNAL:,3
RIIPAC: Revista sobre Patrimonio Cultural:,RIIPAC: REVISTA SOBRE PATRIMONIO CULTURAL:,5
RINAP 1:,RINAP 1:,1
RINAP 3:,RINAP 3:,1
RINAP 4:,RINAP 4:,1
RIV:MON:,RIV:MON:,5
RIV:SUPPL:,RIV:SUPPL:,5
RSS feed:,RSS FEED:,1
SABC aims:,SABC AIMS:,1
SAIR is intended to publish papers which particularly benefit from electronic publishing:,SAIR IS INTENDED TO PUBLISH PAPERS WHICH PARTICULARLY BENEFIT FROM ELECTRONIC PUBLISHING:,2
SARS Survey from Omdurman to Gabolab 1997:,SARS SURVEY FROM OMDURMAN TO GABOLAB 1997:,1
SBL 2009 Annual Meeting:,SBL 2009 ANNUAL MEETING:,1
SBL 2010 Session:,SBL 2010 SESSION:,2
SECTION I:,SECTION I:,2
SECTION II:,SECTION II:,2
SECTION III:,SECTION III:,2
SECTION IV:,SECTION IV:,2
SECTION V:,SECTION V:,1
SE delle Terme Centrali:,SE DELLE TERME CENTRALI:,1
SENEPSE 12:,SENEPSE 12:,1
SENEPSE 13:,SENEPSE 13:,1
SENEPSE 5:,SENEPSE 5:,2
SENEPSE 8:,SENEPSE 8:,1
SEPTUAGINTA LXX:,SEPTUAGINTA LXX:,1
SE Spanish Middle Palaeolithic Sites with Neanderthal Remains:,SE SPANISH MIDDLE PALAEOLITHIC SITES WITH NEANDERTHAL REMAINS:,1
SEXUALIDADE E SENTIMENTO RELIGIOSO NO PALEOLÍTICO:,SEXUALIDADE E SENTIMENTO RELIGIOSO NO PALEOLÍTICO:,1
SIODE :,SIODE:,1
SIRIS blog:,SIRIS BLOG:,1
SOME NEWSLETTER ITEMS OF INTEREST:,SOME NEWSLETTER ITEMS OF INTEREST:,1
SPECTROPHOTOMETRIC INVESTIGATIONS AT THE MUSEUM:,SPECTROPHOTOMETRIC INVESTIGATIONS AT THE MUSEUM:,1
SPP 106:,SPP 106:,1
SPP 108:,SPP 108:,1
SPP 109:,SPP 109:,1
SPP 110:,SPP 110:,1
SPP 111:,SPP 111:,1
SPP 112:,SPP 112:,1
SPP 118:,SPP 118:,1
SPP 119:,SPP 119:,1
SPP 120:,SPP 120:,1
SPP 124:,SPP 124:,1
SPP 127:,SPP 127:,1
SPP 128:,SPP 128:,1
SPP 129:,SPP 129:,1
SPP 130:,SPP 130:,1
SPP 146:,SPP 146:,1
SPP 147:,SPP 147:,1
SPP 148:,SPP 148:,1
SPP 149:,SPP 149:,1
SPP 151:,SPP 151:,1
SPP 152:,SPP 152:,1
SPP 154:,SPP 154:,1
SPP 155:,SPP 155:,1
SPP 156:,SPP 156:,1
SPP 157:,SPP 157:,1
SPP 158:,SPP 158:,1
SPP 159:,SPP 159:,1
SPP 160:,SPP 160:,1
SPP 167:,SPP 167:,1
SPP 168:,SPP 168:,1
SPP 77:,SPP 77:,1
SPP 78:,SPP 78:,1
SPP 82:,SPP 82:,1
SPP 88:,SPP 88:,1
SPP 93:,SPP 93:,1
SPP 95:,SPP 95:,1
SPP 97:,SPP 97:,1
SPP 99:,SPP 99:,1
STUDIES IN ROMAN REPUBLICAN TOPOGRAPHY:,STUDIES IN ROMAN REPUBLICAN TOPOGRAPHY:,1
STUDIES  IN THE ARCHAEOLOGY OF HELLENISTIC PONTUS:,STUDIES IN THE ARCHAEOLOGY OF HELLENISTIC PONTUS:,1
SUBMITTED ON:,SUBMITTED ON:,1
SW Slovakia:,SW SLOVAKIA:,1
TAARII Newsletter:,TAARII NEWSLETTER:,4
TAYINAT ARCHAEOLOGICAL PROJECT:,TAYINAT ARCHAEOLOGICAL PROJECT:,1
TBAS 102:,TBAS 102:,1
TERRA SEBVS:,TERRA SEBVS:,5
TEXTES a été assez profondément remanié :,TEXTES A ÉTÉ ASSEZ PROFONDÉMENT REMANIÉ:,1
THE  ANATOMICAL VOTIVE TERRACOTTA PHENOMENON :,THE ANATOMICAL VOTIVE TERRACOTTA PHENOMENON:,1
THE BROWNING OF STAINED GLASS WINDOWS:,THE BROWNING OF STAINED GLASS WINDOWS:,1
THE CAVES OF DUNHUANG:,THE CAVES OF DUNHUANG:,1
THE DIAGNOSTICS IN THE FIELD OF CULTURAL HERITAGE:,THE DIAGNOSTICS IN THE FIELD OF CULTURAL HERITAGE:,1
THE DIAMOND:,THE DIAMOND:,1
THE EMERGENCE OF GENTILE LEADERSHIP AND THE JERUSALEM CONFERENCE:,THE EMERGENCE OF GENTILE LEADERSHIP AND THE JERUSALEM CONFERENCE:,1
THE HORN QUARTET:,THE HORN QUARTET:,1
THEODOSIUS AND THE GOTHS:,THEODOSIUS AND THE GOTHS:,1
THEOLOGIA AND OIKONOMIA:,THEOLOGIA AND OIKONOMIA:,1
THE ORAIBI MARAU CEREMONY:,THE ORAIBI MARAU CEREMONY:,1
THE REPUBLICAN SOLDIER:,THE REPUBLICAN SOLDIER:,1
THE  RESTORATION OF HUMANITY:,THE RESTORATION OF HUMANITY:,1
THE SACRED DOMAIN:,THE SACRED DOMAIN:,1
THE TINGUIAN:,THE TINGUIAN:,1
THE TONAL SYSTEMS OF MESOPOTAMIA AND ANCIENT GREECE :,THE TONAL SYSTEMS OF MESOPOTAMIA AND ANCIENT GREECE:,1
THE ‘ANIMAL’ VISION OF ACTS 10:,THE ‘ANIMAL’ VISION OF ACTS 10:,1
TICA Y F ILOLOGÍA:,TICA Y F ILOLOGÍA:,1
TIO DA HERDADE DA SAPATOA:,TIO DA HERDADE DA SAPATOA:,1
TITUS Project:,TITUS PROJECT:,2
TLG version:,TLG VERSION:,1
TOME VIII :,TOME VIII:,1
TOP series:,TOP SERIES:,1
TOTAL :,TOTAL:,1
TOTOPI :,TOTOPI:,1
TRADITIONS OF THE TINGUIAN:,TRADITIONS OF THE TINGUIAN:,1
TRES PAISAJES IBICENCOS:,TRES PAISAJES IBICENCOS:,1
TWO WEEKS IN THE EGYPTIAN DESERT:,TWO WEEKS IN THE EGYPTIAN DESERT:,2
UBC CNERS Grad Conference:,UBC CNERS GRAD CONFERENCE:,1
UB Heidelberg had just announced the following recently digitized books:,UB HEIDELBERG HAD JUST ANNOUNCED THE FOLLOWING RECENTLY DIGITIZED BOOKS:,1
UCL Perfect bodies:,UCL PERFECT BODIES:,4
UNESCO Database of National  Cultural Heritage Laws allows the following to be consulted:,UNESCO DATABASE OF NATIONAL CULTURAL HERITAGE LAWS ALLOWS THE FOLLOWING TO BE CONSULTED:,1
UNESCO devised an international solution to combat the  illicit traffic of cultural property:,UNESCO DEVISED AN INTERNATIONAL SOLUTION TO COMBAT THE ILLICIT TRAFFIC OF CULTURAL PROPERTY:,1
URI <b>http:,URI <B>HTTP:,1
URI http:,URI HTTP:,2
URL: http:,URL: HTTP:,6
URL is:,URL IS:,1
URL will be accessible through:,URL WILL BE ACCESSIBLE THROUGH:,2
USS Cairo:,USS CAIRO:,5
VANISHED KINGDOMS OF THE NILE:,VANISHED KINGDOMS OF THE NILE:,1
VASILE                 Episcopia Romanului:,VASILE EPISCOPIA ROMANULUI:,1
VELEIA 1760 – 2010:,VELEIA 1760 – 2010:,1
VI Aspects of Stupa Court at Hadda:,VI ASPECTS OF STUPA COURT AT HADDA:,1
VI bound together:,VI BOUND TOGETHER:,1
VIII Inundation Stela :,VIII INUNDATION STELA:,2
VII SEZIONE:,VII SEZIONE:,1
VINCOLO GIURIDICO:,VINCOLO GIURIDICO:,1
VOLUME No:,VOLUME NO:,1
WALL PAINTING OF THE CASTIGLIONI COLLEGE CHAPEL:,WALL PAINTING OF THE CASTIGLIONI COLLEGE CHAPEL:,1
WATER AND GOLD:,WATER AND GOLD:,2
WDL are to:,WDL ARE TO:,1
WF Sounding:,WF SOUNDING:,1
WHEAP Document de projet Author:,WHEAP DOCUMENT DE PROJET AUTHOR:,1
WHEAP info 2010 Author:,WHEAP INFO 2010 AUTHOR:,1
WHEAP Leaflet Earthen Architecture Programme Author:,WHEAP LEAFLET EARTHEN ARCHITECTURE PROGRAMME AUTHOR:,1
WHEAP progress report 2011 English Author:,WHEAP PROGRESS REPORT 2011 ENGLISH AUTHOR:,1
WHEAP Project document Author:,WHEAP PROJECT DOCUMENT AUTHOR:,1
WHEAP Subject:,WHEAP SUBJECT:,6
WOMEN IN JUDAISM:,WOMEN IN JUDAISM:,1
XII  Congressus Internationalis Epigraphiae Graecae et Latinae:,XII CONGRESSUS INTERNATIONALIS EPIGRAPHIAE GRAECAE ET LATINAE:,1
XII libros digestus:,XII LIBROS DIGESTUS:,3
XI  The Horizon of Begram III and Beyond:,XI THE HORIZON OF BEGRAM III AND BEYOND:,1
XX secolo:,XX SECOLO:,1
YBC 6996:,YBC 6996:,1
YHWH saw and was displeased”:,YHWH SAW AND WAS DISPLEASED”:,1
ZENON DAI:,ZENON DAI:,1
ZPE are also available in open access:,ZPE ARE ALSO AVAILABLE IN OPEN ACCESS:,1
